frame,height,time
0,0,1.41543
1,0,1.45547
2,0,1.49563
3,0,1.53736
4,0,1.57599
5,0,1.61616
6,0,1.6604
7,0,1.70252
8,0,1.74731
9,0,1.79262
10,0,1.83733
11,0,1.88139
12,0,1.91951
13,0,1.95729
14,0,1.99914
15,0,2.04222
16,0,2.08218
17,0,2.12481
18,0,2.1699
19,0,2.2102
20,0,2.25448
21,0,2.29621
22,0,2.34045
23,0,2.38311
24,0,2.42571
25,0,2.46951
26,0,2.51245
27,0,2.55528
28,0,2.6016
29,0,2.64324
30,0,2.68085
31,0,2.71763
32,0,2.75774
33,0,2.80198
34,0,2.84005
35,0,2.88146
36,0,2.92387
37,0,2.96837
38,0,3.01089
39,0,3.05511
40,0,3.09797
41,0,3.14198
42,0,3.18453
43,0,3.22582
44,0,3.27185
45,0,3.3168
46,0,3.3635
47,0,3.40623
48,0,3.44486
49,0,3.48681
50,0,3.5288
51,0,3.56705
52,0,3.60855
53,0,3.64902
54,0,3.69262
55,0,3.73718
56,0,3.78112
57,0,3.82458
58,0,3.86855
59,0,3.90904
60,0,3.9524
61,0,3.99546
62,0,4.03651
63,0,4.07678
64,0,4.11907
65,0,4.16255
66,0,4.20865
67,0,4.25338
68,0,4.29836
69,0,4.33995
70,0,4.38153
71,0,4.42452
72,0,4.469
73,0,4.5103
74,0,4.54837
75,0,4.59004
76,0,4.63614
77,0,4.68605
78,0,4.72825
79,0,4.77252
80,0,4.81711
81,0,4.8633
82,0,4.90862
83,0,4.95293
84,0,4.99423
85,0,5.03446
86,0,5.07878
87,0,5.12191
88,0,5.16484
89,0,5.20835
90,0,5.24997
91,0,5.29632
92,0,5.33962
93,0,5.38523
94,0,5.42918
95,0,5.47234
96,0,5.51705
97,0,5.5596
98,0,5.60631
99,0,5.65002
100,0,5.6947
101,0,5.73995
102,0,5.78369
103,0,5.82898
104,0,5.87058
105,0,5.91236
106,0,5.95429
107,0,5.99929
108,0,6.04612
109,0,6.08707
110,0,6.12675
111,0,6.16894
112,0,6.21191
113,0,6.25443
114,0,6.29692
115,0,6.34171
116,0,6.38346
117,0,6.42574
118,0,6.46962
119,0,6.51136
120,0,6.55222
121,0,6.59233
122,0,6.63522
123,0,6.67836
124,0,6.72218
125,0,6.76252
126,0,6.8002
127,0,6.84327
128,0,6.88697
129,0,6.92894
130,0,6.97358
131,0,7.02041
132,0,7.06406
133,0,7.11041
134,0,7.14961
135,0,7.19595
136,0,7.23873
137,0,7.28113
138,0,7.32442
139,0,7.36227
140,0,7.40437
141,0,7.4519
142,0,7.49424
143,0,7.53651
144,0,7.58039
145,0,7.62438
146,0,7.66454
147,0,7.703
148,0,7.74122
149,0,7.78051
150,0,7.81782
151,0,7.85589
152,0,7.89463
153,0,7.94247
154,0,7.98772
155,0,8.03168
156,0,8.076
157,0,8.12053
158,0,8.15889
159,0,8.20055
160,0,8.24281
161,0,8.28864
162,0,8.33111
163,0,8.37602
164,0,8.41658
165,0,8.46267
166,0,8.50921
167,0,8.54704
168,0,8.58513
169,0,8.62737
170,0,8.66886
171,0,8.71304
172,0,8.75506
173,0,8.80253
174,0,8.83956
175,0,8.87691
176,0,8.91761
177,0,8.95593
178,0,8.99608
179,0,9.0397
180,0,9.08094
181,0,9.12001
182,0,9.15831
183,0,9.19578
184,0,9.23356
185,0,9.27491
186,0,9.31771
187,0,9.35921
188,0,9.3986
189,0,9.43735
190,0,9.47899
191,0,9.51592
192,0,9.55909
193,0,9.60497
194,0,9.64861
195,0,9.69583
196,0,9.73397
197,0,9.77304
198,0,9.81458
199,0,9.85929
200,0,9.90404
201,0,9.94792
202,0,9.98886
203,0,10.0314
204,0,10.075
205,0,10.1172
206,0,10.1636
207,0,10.2026
208,0,10.2417
209,0,10.2875
210,0,10.3339
211,0,10.3737
212,0,10.4117
213,0,10.4553
214,0,10.4977
215,0,10.538
216,0,10.5773
217,0,10.6158
218,0,10.6539
219,0,10.7032
220,0,10.7457
221,0,10.7917
222,0,10.8359
223,0,10.875
224,0,10.9137
225,0,10.9552
226,0,10.9967
227,0,11.0369
228,0,11.0756
229,0,11.1166
230,0,11.1606
231,0,11.2027
232,0,11.2422
233,0,11.2853
234,0,11.3276
235,0,11.3687
236,0,11.41
237,0,11.4496
238,0,11.4914
239,0,11.5379
240,0,11.5843
241,0,11.6298
242,0,11.6745
243,0,11.7197
244,0,11.7622
245,0,11.8037
246,0,11.8443
247,0,11.8871
248,0,11.9329
249,0,11.9779
250,0,12.0219
251,0,12.063
252,0,12.1029
253,0,12.1422
254,0,12.1828
255,0,12.2296
256,0,12.2696
257,0,12.318
258,0,12.3643
259,0,12.4124
260,0,12.4581
261,0,12.5039
262,0,12.5498
263,0,12.5928
264,0,12.6407
265,0,12.6832
266,0,12.7277
267,0,12.7689
268,0,12.8157
269,0,12.8614
270,0,12.9093
271,0,12.9575
272,0,13.005
273,0,13.0464
274,0,13.0949
275,0,13.1419
276,0,13.1903
277,0,13.2316
278,0,13.2781
279,0,13.3227
280,0,13.369
281,0,13.4161
282,0,13.4635
283,0,13.5095
284,0,13.5493
