frame,height,time
0,0,3.26457
1,0,3.30779
2,0,3.35261
3,0,3.39306
4,0,3.43615
5,0,3.48339
6,0,3.52776
7,0,3.56801
8,0,3.60933
9,0,3.65713
10,0,3.70117
11,0,3.74675
12,0,3.79295
13,0,3.83223
14,0,3.87593
15,0,3.91562
16,0,3.9631
17,0,4.00652
18,0,4.04653
19,0,4.0862
20,0,4.12596
21,0,4.16494
22,0,4.21129
23,0,4.25648
24,0,4.29539
25,0,4.3389
26,0,4.38145
27,0,4.41925
28,0,4.46196
29,0,4.5004
30,0,4.54161
31,0,4.58072
32,0,4.62487
33,0,4.66429
34,0,4.70567
35,0,4.75334
36,0,4.79401
37,0,4.83824
38,0,4.88644
39,0,4.93137
40,0,4.97991
41,0,5.02873
42,0,5.06882
43,0,5.10809
44,0,5.1549
45,0,5.20022
46,0,5.2433
47,0,5.28407
48,0,5.32623
49,0,5.37333
50,0,5.41556
51,0,5.46055
52,0,5.50781
53,0,5.55475
54,0,5.59873
55,0,5.63983
56,0,5.68307
57,0,5.72873
58,0,5.77247
59,0,5.8133
60,0,5.85766
61,0,5.8996
62,0,5.94315
63,0,5.98936
64,0,6.03648
65,0,6.08114
66,0,6.12816
67,0,6.17268
68,0,6.22036
69,0,6.26774
70,0,6.31523
71,0,6.36308
72,0,6.41017
73,0,6.45691
74,0,6.50119
75,0,6.5455
76,0,6.59199
77,0,6.63195
78,0,6.67487
79,0,6.71822
80,0,6.76394
81,0,6.81138
82,0,6.8546
83,0,6.89658
84,0,6.94149
85,0,6.9866
86,0,7.03078
87,0,7.076
88,0,7.12082
89,0,7.1649
90,0,7.21078
91,0,7.25418
92,0,7.30075
93,0,7.34555
94,0,7.39213
95,0,7.4417
96,0,7.48913
97,0,7.5347
98,0,7.57985
99,0,7.62635
100,0,7.67164
101,0,7.71803
102,0,7.76316
103,0,7.80578
104,0,7.85357
105,0,7.89569
106,0,7.93473
107,0,7.97728
108,0,8.01664
109,0,8.05839
110,0,8.10316
111,0,8.14912
112,0,8.19805
113,0,8.24302
114,0,8.28336
115,0,8.32803
116,0,8.37216
117,0,8.41992
118,0,8.46862
119,0,8.51229
120,0,8.56108
121,0,8.60719
122,0,8.64928
123,0,8.69462
124,0,8.74059
125,0,8.78448
126,0,8.83241
127,0,8.8779
128,0,8.92374
129,0,8.97061
130,0,9.01204
131,0,9.05885
132,0,9.10318
133,0,9.14822
134,0,9.19736
135,0,9.24186
136,0,9.28584
137,0,9.3316
138,0,9.37954
139,0,9.42667
140,0,9.46992
141,0,9.5153
142,0,9.55894
143,0,9.60301
144,0,9.64629
145,0,9.69265
146,0,9.73743
147,0,9.78534
148,0,9.82709
149,0,9.87282
150,0,9.92118
